# Demo Products Import - Retail Store Sample Data
# Fields marked with * are REQUIRED
# This demo data includes electronics, apparel, home goods, and tools
# All products have DEMO- prefix for easy identification and cleanup
#
sku*,name*,category*,unit_price*,cost*,store_id,description,subcategory,quantity,reorder_point,barcode,barcode_type,is_active,parent_sku,images,tax_class,notes,attr_color,attr_size,attr_brand,attr_weight,attr_material,attr_custom_1,attr_custom_2,attr_custom_3,vendor_1_name,vendor_1_sku,vendor_1_cost,vendor_2_name,vendor_2_sku,vendor_2_cost,alt_sku_manufacturer,alt_sku_upc,alt_sku_ean
"DEMO-HOME-001","Ceramic Coffee Mug - 12oz","Home & Kitchen","12.99","4.00","default-store","Dishwasher and microwave safe ceramic mug","Drinkware","150","30","012345678920","UPC-A","true","","demo-images/mug-white.png","standard","","White","12oz","HomeStyle","320g","Ceramic","Dishwasher Safe","Microwave Safe","","Home Goods Inc","HG-MUG-12W","3.00","","","","HS-MUG-12OZ","012345678920",""
"DEMO-HOME-002","Stainless Steel Water Bottle","Home & Kitchen","19.99","7.00","default-store","Double-wall insulated bottle keeps drinks cold 24hrs or hot 12hrs","Drinkware","80","20","012345678921","UPC-A","true","","demo-images/bottle-silver.png","standard","Eco-friendly option","Silver","24oz","HydroKeep","350g","Stainless Steel","Double Wall","24hr Cold","12hr Hot","Home Goods Inc","HG-BTL-24S","5.50","","","","HK-BOTTLE-24","012345678921",""
"DEMO-HOME-003","Non-Stick Frying Pan 10in","Home & Kitchen","29.99","12.00","default-store","PFOA-free non-stick coating, oven safe to 400°F","Cookware","40","8","012345678922","UPC-A","true","","demo-images/pan-black.png","standard","","Black","10 inch","ChefPro","680g","Aluminum/Ceramic","PFOA-Free","Oven Safe 400F","Ergonomic Handle","Home Goods Inc","HG-PAN-10B","9.50","","","","CP-FRY-10IN","012345678922",""
"DEMO-HOME-004","Bamboo Cutting Board Set","Home & Kitchen","24.99","9.00","default-store","Set of 3 eco-friendly bamboo cutting boards in different sizes","Kitchen Tools","55","10","012345678923","UPC-A","true","","demo-images/cutting-board.png","standard","","Natural","Set of 3","EcoKitchen","850g","Bamboo","Eco-Friendly","Knife-Friendly","Easy Clean","Home Goods Inc","HG-CB-SET3","7.00","","","","EK-BOARD-S3","012345678923",""
"DEMO-HOME-005","LED Desk Lamp - Adjustable","Home & Kitchen","39.99","16.00","default-store","Touch-controlled LED lamp with 5 brightness levels and USB charging port","Lighting","35","7","012345678924","UPC-A","true","","demo-images/lamp-white.png","standard","Home office essential","White","Adjustable","BrightLife","620g","Plastic/Metal","5 Brightness Levels","USB Charging","Touch Control","Tech Distributors","TD-LAMP-LED","13.00","","","","BL-DESK-LED","012345678924",""
"DEMO-TOOL-001","Cordless Drill Driver Kit","Tools","79.99","35.00","default-store","20V lithium-ion cordless drill with 2 batteries and 30-piece bit set","Power Tools","25","5","012345678930","UPC-A","true","","demo-images/drill-yellow.png","standard","DIY essential","Yellow/Black","Standard","ToolMaster","1.8kg","Plastic/Metal","20V Li-Ion","2 Batteries","30-Piece Kit","Tool Supply Co","TSC-DRILL-20V","30.00","","","","TM-DRILL-KIT","012345678930",""
"DEMO-TOOL-002","Screwdriver Set - 12 Piece","Tools","19.99","7.00","default-store","Magnetic tip screwdrivers with comfortable grip handles","Hand Tools","60","15","012345678931","UPC-A","true","","demo-images/screwdriver-set.png","standard","","Multi","12 Piece","ToolMaster","450g","Chrome Vanadium","Magnetic Tips","Comfort Grip","Storage Case","Tool Supply Co","TSC-SCREW-12","5.50","","","","TM-SCREW-12P","012345678931",""
"DEMO-TOOL-003","Tape Measure - 25ft","Tools","9.99","3.50","default-store","Heavy-duty tape measure with magnetic tip and belt clip","Measuring","100","25","012345678932","UPC-A","true","","demo-images/tape-measure.png","standard","","Yellow","25ft","ToolMaster","280g","Steel/Plastic","Magnetic Tip","Belt Clip","Auto-Lock","Tool Supply Co","TSC-TAPE-25","2.80","","","","TM-TAPE-25FT","012345678932",""
"DEMO-TOOL-004","Adjustable Wrench - 10in","Tools","14.99","5.50","default-store","Chrome-plated adjustable wrench with precision jaw","Hand Tools","45","10","012345678933","UPC-A","true","","demo-images/wrench.png","standard","","Chrome","10 inch","ToolMaster","320g","Chrome Vanadium","Precision Jaw","Rust Resistant","","Tool Supply Co","TSC-WRENCH-10","4.20","","","","TM-WRENCH-10","012345678933",""
"DEMO-TOOL-005","Safety Glasses - Clear","Tools","7.99","2.50","default-store","ANSI Z87.1 certified safety glasses with anti-fog coating","Safety","200","50","012345678934","UPC-A","true","","demo-images/safety-glasses.png","standard","","Clear","One Size","SafetyFirst","45g","Polycarbonate","ANSI Z87.1","Anti-Fog","UV Protection","Tool Supply Co","TSC-GLASS-CLR","1.80","","","","SF-GLASS-CLR","012345678934",""
"DEMO-GROC-001","Organic Coffee Beans - 12oz","Grocery","14.99","6.00","default-store","Fair trade organic medium roast whole bean coffee","Beverages","80","20","012345678940","UPC-A","true","","demo-images/coffee-beans.png","grocery","","Brown","12oz","Mountain Roast","340g","Coffee","Fair Trade","Organic","Medium Roast","Food Distributors","FD-COFFEE-12","4.80","","","","MR-COFFEE-12","012345678940",""
"DEMO-GROC-002","Extra Virgin Olive Oil - 500ml","Grocery","12.99","5.00","default-store","Cold-pressed extra virgin olive oil from Mediterranean olives","Cooking Oils","60","15","012345678941","UPC-A","true","","demo-images/olive-oil.png","grocery","","Gold","500ml","Mediterranean Gold","520g","Glass","Cold Pressed","Extra Virgin","Mediterranean","Food Distributors","FD-OLIVE-500","3.80","","","","MG-EVOO-500","012345678941",""
"DEMO-GROC-003","Raw Honey - 16oz","Grocery","11.99","4.50","default-store","Pure unfiltered raw honey from local apiaries","Sweeteners","45","10","012345678942","UPC-A","true","","demo-images/honey-jar.png","grocery","","Amber","16oz","Golden Hive","480g","Glass","Raw","Unfiltered","Local","Food Distributors","FD-HONEY-16","3.50","","","","GH-HONEY-16","012345678942",""
"DEMO-GROC-004","Almond Butter - 12oz","Grocery","9.99","4.00","default-store","Creamy almond butter made from roasted almonds, no added sugar","Spreads","55","12","012345678943","UPC-A","true","","demo-images/almond-butter.png","grocery","","Tan","12oz","NutriSpread","360g","Glass","No Sugar Added","Roasted","Creamy","Food Distributors","FD-ALMBTR-12","3.20","","","","NS-ALMOND-12","012345678943",""
"DEMO-GROC-005","Organic Green Tea - 20 bags","Grocery","6.99","2.50","default-store","Premium organic green tea bags, individually wrapped","Beverages","100","25","012345678944","UPC-A","true","","demo-images/green-tea.png","grocery","","Green","20 bags","TeaLeaf","80g","Paper/Tea","Organic","Individually Wrapped","Premium","Food Distributors","FD-TEA-GRN20","1.80","","","","TL-GREEN-20","012345678944",""
